effect,group,term,estimate,std.error,statistic,0.5 %,99.5 %
fixed,NA,(Intercept),2.3859537449796484,0.008513651634286704,280.25033763077505,2.3640240316198455,2.4078834583394513
fixed,NA,mismatch:S,-0.16287933442711097,0.003945622072070988,-41.28102779535052,-0.17304258338108075,-0.1527160854731412
fixed,NA,mismatch:N,-0.26949747552399206,0.005443365490122864,-49.509347849782024,-0.2835186558633773,-0.2554762951846068
fixed,NA,highest_degree:M,-0.00892207131293132,0.0045743881708804925,-1.9504403604676976,-0.020704914409292743,0.0028607717834301053
fixed,NA,highest_degree:Dr,-0.028937213401571085,0.01128734256245483,-2.5636870008557326,-0.05801148113313696,1.3705432999479294e-4
fixed,NA,highest_degree:Pr,-0.006516026024180639,0.008420046482308716,-0.7738705525998464,-0.028204628490555262,0.015172576442193986
fixed,NA,major_group:CS/M,-0.05173086686410568,0.007967338555046513,-6.492866658884396,-0.07225337098548944,-0.031208362742721926
fixed,NA,major_group:LifeSci,0.03487030917642206,0.008956116933311421,3.893462918815327,0.011800880733587992,0.057939737619256124
fixed,NA,major_group:PhysSci,0.012337485589922316,0.010908542077353712,1.1309930788583664,-0.01576105675192157,0.0404360279317662
fixed,NA,major_group:SocSci,0.013736540930991307,0.007168666582448698,1.916191912820017,-0.004728720519451796,0.03220180238143441
fixed,NA,major_group:Eng,-0.0063982723011916,0.006986375962615081,-0.9158213550815913,-0.02439398423130518,0.011597439628921982
fixed,NA,major_group:STEM-adj,0.02955484303516832,0.006782140156647666,4.357745837233912,0.012085207678899534,0.047024478391437106
fixed,NA,job_type_group:CS/M,-0.05928911299787911,0.00607307949281825,-9.762611055559496,-0.07493232911826225,-0.04364589687749597
fixed,NA,job_type_group:LifeSci,-0.03329125321798551,0.010692393320526294,-3.1135455103466834,-0.060833033258067666,-0.005749473177903357
fixed,NA,job_type_group:PhysSci,-0.06712085630291507,0.012074317568053558,-5.55897721959083,-0.09822223731506272,-0.03601947529076743
fixed,NA,job_type_group:SocSci,0.01644062593006121,0.011227943901864499,1.4642597143125287,-0.01248064099096454,0.04536189285108696
fixed,NA,job_type_group:Eng,-0.06604413569572513,0.006451070124048545,-10.23770233864352,-0.08266099116049822,-0.04942728023095205
fixed,NA,job_type_group:STEM-adj,-0.01518162592740623,0.005208266675056977,-2.914909484207651,-0.028597231849715188,-0.0017660200050972734
fixed,NA,weekly_hours,-0.033003160331233156,0.002239722955040563,-14.735376202203296,-0.038772304350657774,-0.027234016311808537
fixed,NA,salary_adj,0.10978645566322517,0.003355943635384746,32.714034438971915,0.10114211770614272,0.11843079362030763
fixed,NA,richTRUE,0.20025534865157418,0.006625377717006434,30.22549916475648,0.1831895065810291,0.21732119072211928
fixed,NA,poorTRUE,-0.10651706405419067,0.006923838047642841,-15.38410680914951,-0.12435168899033591,-0.08868243911804544
fixed,NA,gender:F,0.019149051478034015,0.0044419304482978435,4.3109750818750365,0.007707396864982329,0.030590706091085704
fixed,NA,age,0.040151190927402096,0.001860889078506638,21.576348311756117,0.03535785830833059,0.0449445235464736
fixed,NA,race:A,-0.09874938434897998,0.0058320864533412675,-16.93208513608459,-0.113771843536327,-0.08372692516163296
fixed,NA,race:M,-0.034491239716223296,0.005318441075643042,-6.485216104806243,-0.048190636088062774,-0.020791843344383817
fixed,NA,survey_year,-0.0013303707138971768,4.953107815268893e-4,-2.685931264803195,-0.0026062067393178455,-5.453468847650819e-5
ran_pars,person_id,sd__(Intercept),0.399747790413728,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.5515133102274075,NA,NA,NA,NA
